iter	Passed	Remaining
401	16016	3904
402	16055	3864
403	16095	3824
404	16135	3784
405	16174	3744
406	16213	3704
407	16250	3664
408	16292	3625
409	16329	3584
410	16367	3544
411	16407	3504
412	16448	3464
413	16486	3424
414	16525	3384
415	16563	3344
416	16601	3304
417	16641	3264
418	16678	3224
419	16716	3184
420	16754	3143
421	16793	3103
422	16830	3063
423	16867	3023
424	16905	2983
425	16945	2943
426	16983	2903
427	17021	2863
428	17059	2823
429	17113	2785
430	17150	2745
431	17188	2705
432	17226	2665
433	17265	2625
434	17303	2585
435	17342	2545
436	17381	2505
437	17419	2465
438	17459	2426
439	17496	2385
440	17533	2345
441	17570	2305
442	17608	2265
443	17645	2225
444	17684	2185
445	17726	2146
446	17767	2106
447	17809	2067
448	17848	2027
449	17889	1987
450	17929	1947
451	17968	1908
452	18007	1868
453	18048	1828
454	18089	1789
455	18129	1749
456	18167	1709
457	18208	1669
458	18247	1629
459	18286	1590
460	18324	1550
461	18363	1510
462	18403	1470
463	18441	1430
464	18481	1391
465	18520	1351
466	18560	1311
467	18598	1271
468	18639	1232
469	18677	1192
470	18715	1152
471	18755	1112
472	18793	1072
473	18830	1032
474	18867	993
475	18907	953
476	18946	913
477	18983	873
478	19023	834
479	19063	794
480	19101	754
481	19139	714
482	19177	674
483	19214	635
484	19253	595
485	19291	555
486	19328	515
487	19366	476
488	19407	436
489	19448	396
490	19487	357
491	19524	317
492	19565	277
493	19607	238
494	19648	198
495	19690	158
496	19733	119
497	19775	79
498	19815	39
499	19856	0
