iter	Passed	Remaining
398	140622	35596
399	141660	35415
400	143487	35424
401	143798	35055
402	144457	34770
403	145703	34622
404	148289	34783
405	148372	34352
406	148422	33914
407	148462	33476
408	148505	33041
409	148567	32612
410	148652	32190
411	148773	31776
412	148969	31381
413	149306	31015
414	149653	30651
415	150058	30300
416	150635	29982
417	150920	29606
418	151319	29252
419	151859	28925
420	152295	28578
421	152495	28186
422	152952	27842
423	153948	27594
424	154458	27257
425	154805	26891
426	155299	26550
427	155744	26200
428	156694	25933
429	157053	25566
430	157615	25233
431	157877	24851
432	158058	24457
433	158346	24080
434	158963	23753
435	159314	23385
436	159555	23002
437	159829	22624
438	160142	22252
439	160431	21877
440	160704	21500
441	160909	21114
442	161223	20744
443	161507	20370
444	161823	20000
445	162127	19629
446	162417	19257
447	162776	18893
448	163044	18519
449	163253	18139
450	163532	17767
451	163749	17389
452	163998	17015
453	164215	16638
454	164408	16260
455	164612	15883
456	164796	15506
457	165084	15138
458	165262	14762
459	165440	14386
460	165776	14024
461	165949	13649
462	166139	13276
463	166320	12904
464	166497	12532
465	166677	12161
466	166886	11792
467	167127	11427
468	167322	11059
469	167508	10692
470	167828	10333
471	168087	9971
472	168272	9605
473	168473	9241
474	168656	8876
475	168841	8513
476	169021	8149
477	169204	7787
478	169360	7424
479	169552	7064
480	169721	6704
481	170041	6350
482	170223	5991
483	170401	5633
484	170583	5275
485	170784	4919
486	170995	4564
487	171449	4215
488	171934	3867
489	172819	3526
490	173240	3175
491	173492	2821
492	173652	2465
493	173812	2111
494	174128	1758
495	174303	1405
496	174355	1052
497	174412	700
498	174473	349
499	174528	0
